Year,Month,Region,Commodity,Unit,Priceflag,Pricetype,Currency,Price,Usdprice,Amount Produced(Tonnes),Annual Rainfall,Annual Temperature,,,,,,,,,,,,,,,,
#year,#month,#region,#commodity,#unit,#priceflag,#pricetype,#currency,#price,#usdprice,#tonnes,#mm,#degrees celsius,,,,,,,,,,,,,,,,
2006    ,January,Coast,Maize,KG,actual,Retail,KES,16.13,0.2235,9741.6,23,27,,,,,,,,,,,,,,,,
2006    ,February,Coast,Maize,KG,actual,Retail,KES,15.93,0.2208,9741.6,13,27,,,,,,,,,,,,,,,,
2006    ,March,Coast,Maize,KG,actual,Retail,KES,16.03,0.2221,9741.6,42,27,,,,,,,,,,,,,,,,
2006    ,April,Coast,Maize,KG,actual,Retail,KES,16.63,0.2305,16236,108,26,,,,,,,,,,,,,,,,
2006    ,May,Coast,Maize,KG,actual,Retail,KES,16.43,0.2278,16236,142,26,,,,,,,,,,,,,,,,
2006    ,June,Coast,Maize,KG,actual,Retail,KES,15.98,0.2214,9741.6,95,26,,,,,,,,,,,,,,,,
2006    ,July,Coast,Maize,KG,actual,Retail,KES,16.08,0.2228,9741.6,88,25,,,,,,,,,,,,,,,,
2006    ,August,Coast,Maize,KG,actual,Retail,KES,16.33,0.2263,9741.6,102,25,,,,,,,,,,,,,,,,
2006    ,September,Coast,Maize,KG,actual,Retail,KES,16.53,0.229,12988.8,68,25,,,,,,,,,,,,,,,,
2006    ,October ,Coast,Maize,KG,actual,Retail,KES,16.23,0.2249,16236,99,27,,,,,,,,,,,,,,,,
2006    ,November,Coast,Maize,KG,actual,Retail,KES,15.93,0.2208,16236,165,27,,,,,,,,,,,,,,,,
2006    ,December,Coast,Maize,KG,actual,Retail,KES,16.13,0.2235,9741.6,87,27,,,,,,,,,,,,,,,,
2006    ,January,Eastern,Maize,KG,actual,Retail,KES,21,0.2283,16236,50,25,,,,,,,,,,,,,,,,
2006    ,February,Eastern,Maize,KG,actual,Retail,KES,20.5,0.2239,16236,45,25,,,,,,,,,,,,,,,,
2006    ,March,Eastern,Maize,KG,actual,Retail,KES,20.7,0.2257,22730.4,100,24,,,,,,,,,,,,,,,,
2006    ,April,Eastern,Maize,KG,actual,Retail,KES,21.4,0.233,32472,150,23,,,,,,,,,,,,,,,,
2006    ,May,Eastern,Maize,KG,actual,Retail,KES,21.2,0.2304,32472,120,23,,,,,,,,,,,,,,,,
2006    ,June,Eastern,Maize,KG,actual,Retail,KES,20.6,0.2248,22730.4,90,22,,,,,,,,,,,,,,,,
2006    ,July,Eastern,Maize,KG,actual,Retail,KES,20.9,0.2272,22730.4,85,22,,,,,,,,,,,,,,,,
2006    ,August,Eastern,Maize,KG,actual,Retail,KES,21.3,0.2315,22730.4,80,22,,,,,,,,,,,,,,,,
2006    ,September,Eastern,Maize,KG,actual,Retail,KES,21.5,0.2337,32472,70,23,,,,,,,,,,,,,,,,
2006    ,October ,Eastern,Maize,KG,actual,Retail,KES,21.1,0.2293,38966.4,130,24,,,,,,,,,,,,,,,,
2006    ,November,Eastern,Maize,KG,actual,Retail,KES,20.7,0.2257,38966.4,140,24,,,,,,,,,,,,,,,,
2006    ,December,Eastern,Maize,KG,actual,Retail,KES,21,0.2283,25977.6,95,25,,,,,,,,,,,,,,,,
2006    ,January,Nairobi,Maize,KG,actual,Retail,KES,15.48,0.2864,5682.6,50,20,,,,,,,,,,,,,,,,
2006    ,February,Nairobi,Maize,KG,actual,Retail,KES,15.28,0.283,5682.6,45,20,,,,,,,,,,,,,,,,
2006    ,March,Nairobi,Maize,KG,actual,Retail,KES,15.38,0.2848,5682.6,95,19,,,,,,,,,,,,,,,,
2006    ,April,Nairobi,Maize,KG,actual,Retail,KES,15.78,0.2922,7306.2,150,18,,,,,,,,,,,,,,,,
2006    ,May,Nairobi,Maize,KG,actual,Retail,KES,15.68,0.2904,7306.2,120,18,,,,,,,,,,,,,,,,
2006    ,June,Nairobi,Maize,KG,actual,Retail,KES,15.18,0.2811,6481.8,90,19,,,,,,,,,,,,,,,,
2006    ,July,Nairobi,Maize,KG,actual,Retail,KES,15.33,0.2839,6481.8,85,19,,,,,,,,,,,,,,,,
2006    ,August,Nairobi,Maize,KG,actual,Retail,KES,15.58,0.2885,6481.8,80,19,,,,,,,,,,,,,,,,
2006    ,September,Nairobi,Maize,KG,actual,Retail,KES,15.68,0.2904,6481.8,70,19,,,,,,,,,,,,,,,,
2006    ,October ,Nairobi,Maize,KG,actual,Retail,KES,15.78,0.2922,7306.2,130,20,,,,,,,,,,,,,,,,
2006    ,November,Nairobi,Maize,KG,actual,Retail,KES,15.38,0.2848,7306.2,140,20,,,,,,,,,,,,,,,,
2006    ,December,Nairobi,Maize,KG,actual,Retail,KES,15.48,0.2864,5682.6,95,20,,,,,,,,,,,,,,,,
2006    ,January,North Eastern,Maize,KG,actual,Retail,KES,30,0.3135,6481.8,10,30,,,,,,,,,,,,,,,,
2006    ,February,North Eastern,Maize,KG,actual,Retail,KES,29.5,0.3079,6481.8,5,31,,,,,,,,,,,,,,,,
2006    ,March,North Eastern,Maize,KG,actual,Retail,KES,29.7,0.31,6481.8,15,32,,,,,,,,,,,,,,,,
2006    ,April,North Eastern,Maize,KG,actual,Retail,KES,30.7,0.3208,8118,60,33,,,,,,,,,,,,,,,,
2006    ,May,North Eastern,Maize,KG,actual,Retail,KES,30.5,0.3187,8118,50,32,,,,,,,,,,,,,,,,
2006    ,June,North Eastern,Maize,KG,actual,Retail,KES,29.6,0.309,6481.8,20,31,,,,,,,,,,,,,,,,
2006    ,July,North Eastern,Maize,KG,actual,Retail,KES,29.8,0.3111,6481.8,25,30,,,,,,,,,,,,,,,,
2006    ,August,North Eastern,Maize,KG,actual,Retail,KES,30.3,0.3167,6481.8,30,30,,,,,,,,,,,,,,,,
2006    ,September,North Eastern,Maize,KG,actual,Retail,KES,30.5,0.3187,6481.8,20,31,,,,,,,,,,,,,,,,
2006    ,October ,North Eastern,Maize,KG,actual,Retail,KES,30.1,0.3145,6481.8,50,32,,,,,,,,,,,,,,,,
2006    ,November,North Eastern,Maize,KG,actual,Retail,KES,29.8,0.3111,6481.8,60,33,,,,,,,,,,,,,,,,
2006    ,December,North Eastern,Maize,KG,actual,Retail,KES,30,0.3135,6481.8,15,32,,,,,,,,,,,,,,,,
2006    ,January,Nyanza,Maize,KG,actual,Retail,KES,14.84,0.285,16236,50,27,,,,,,,,,,,,,,,,
2006    ,February,Nyanza,Maize,KG,actual,Retail,KES,14.64,0.281,16236,45,27,,,,,,,,,,,,,,,,
2006    ,March,Nyanza,Maize,KG,actual,Retail,KES,14.74,0.283,19483.2,100,27,,,,,,,,,,,,,,,,
2006    ,April,Nyanza,Maize,KG,actual,Retail,KES,15.24,0.293,32472,150,26,,,,,,,,,,,,,,,,
2006    ,May,Nyanza,Maize,KG,actual,Retail,KES,15.14,0.291,32472,120,26,,,,,,,,,,,,,,,,
2006    ,June,Nyanza,Maize,KG,actual,Retail,KES,14.54,0.28,19483.2,90,25,,,,,,,,,,,,,,,,
2006    ,July,Nyanza,Maize,KG,actual,Retail,KES,14.74,0.283,19483.2,85,25,,,,,,,,,,,,,,,,
2006    ,August,Nyanza,Maize,KG,actual,Retail,KES,15.04,0.289,19483.2,80,25,,,,,,,,,,,,,,,,
2006    ,September,Nyanza,Maize,KG,actual,Retail,KES,15.14,0.291,32472,70,26,,,,,,,,,,,,,,,,
2006    ,October ,Nyanza,Maize,KG,actual,Retail,KES,15.34,0.295,38966.4,130,27,,,,,,,,,,,,,,,,
2006    ,November,Nyanza,Maize,KG,actual,Retail,KES,15.24,0.293,38966.4,140,27,,,,,,,,,,,,,,,,
2006    ,December,Nyanza,Maize,KG,actual,Retail,KES,14.84,0.285,25977.6,95,27,,,,,,,,,,,,,,,,
2006    ,January,Rift Valley,Maize,KG,actual,Retail,KES,12.96,0.3135,48708,50,17,,,,,,,,,,,,,,,,
2006    ,February,Rift Valley,Maize,KG,actual,Retail,KES,12.76,0.3085,48708,45,17,,,,,,,,,,,,,,,,
2006    ,March,Rift Valley,Maize,KG,actual,Retail,KES,12.86,0.311,64944,100,17,,,,,,,,,,,,,,,,
2006    ,April,Rift Valley,Maize,KG,actual,Retail,KES,13.46,0.3255,194832,150,16,,,,,,,,,,,,,,,,
2006    ,May,Rift Valley,Maize,KG,actual,Retail,KES,13.26,0.3206,243540,120,16,,,,,,,,,,,,,,,,
2006    ,June,Rift Valley,Maize,KG,actual,Retail,KES,12.81,0.3097,81180,90,15,,,,,,,,,,,,,,,,
2006    ,July,Rift Valley,Maize,KG,actual,Retail,KES,12.91,0.3121,81180,85,15,,,,,,,,,,,,,,,,
2006    ,August,Rift Valley,Maize,KG,actual,Retail,KES,13.16,0.3183,81180,80,15,,,,,,,,,,,,,,,,
2006    ,September,Rift Valley,Maize,KG,actual,Retail,KES,13.36,0.3232,129888,70,16,,,,,,,,,,,,,,,,
2006    ,October ,Rift Valley,Maize,KG,actual,Retail,KES,13.06,0.3164,243540,130,17,,,,,,,,,,,,,,,,
2006    ,November,Rift Valley,Maize,KG,actual,Retail,KES,12.76,0.3085,243540,140,17,,,,,,,,,,,,,,,,
2006    ,December,Rift Valley,Maize,KG,actual,Retail,KES,12.96,0.3135,162360,95,17,,,,,,,,,,,,,,,,
